Municipio,Desaparecidos,Habitantes,Desaparecidos_1000,Mun_Caguan
MAPIRIPÁN,382,7271,"52,53747765",No
VISTAHERMOSA,754,17060,"44,19695193",Yes
RECETOR,69,1825,"37,80821918",No
SAN FRANCISCO(ANTIOQUIA),192,6074,"31,61014159",No
PUERTO CONCORDIA,269,8707,"30,89468244",No
MUTATÁ,442,14838,"29,78838118",No
ARGELIA(ANTIOQUIA),226,7780,"29,04884319",No
VALPARAÍSO(CAQUETÁ),202,7199,"28,0594527",No
GRANADA(ANTIOQUIA),271,10069,"26,91429139",No
CURILLO,202,7938,"25,44721592",No
DABEIBA,571,24242,"23,5541622",No
SOLITA,152,6480,"23,45679012",No
SAN CARLOS,371,16304,"22,75515211",No
MIRAFLORES,202,9136,"22,11033275",No
EL CASTILLO,166,7527,"22,05393915",No
TIBÚ,1269,59845,"21,20477901",No
VALLE DEL GUAMUEZ,722,35621,"20,26894248",No
TARAZÁ,582,28868,"20,16073161",No
PUERTO BERRÍO,846,41983,"20,15101351",No
LA VICTORIA,22,1132,"19,43462898",No
SAN LUIS,256,13532,"18,91812001",No
SAN JOSÉ DEL GUAVIARE,1093,58206,"18,77813284",No
EL RETORNO,263,14306,"18,38389487",No
MESETAS,193,10598,"18,2109832",Yes
PUERTO LLERAS,191,10520,"18,15589354",No
MORELIA,68,3826,"17,77313121",No
POLICARPA,173,9787,"17,67650966",No
VALDIVIA,240,14542,"16,50391968",No
ALMEIDA,30,1831,"16,38448935",No
SAN JUAN DE ARAMA,141,9007,"15,65449095",No
SAN MIGUEL(PUTUMAYO),310,19973,"15,52095329",No
SAN PABLO,452,29476,"15,33450943",No
URIBE,147,9634,"15,25845962",Yes
PUERTO PARRA,123,8169,"15,05692251",No
ALBANIA,65,4489,"14,47983961",No
MURINDÓ,78,5398,"14,44979622",No
PUERTO TRIUNFO,271,19566,"13,85055709",No
SAMANÁ,277,20317,"13,63390264",No
EL DORADO,54,4035,"13,38289963",No
MILÁN,136,10165,"13,3792425",No
SAN JOSÉ DEL PALMAR,66,5040,"13,0952381",No
BUENAVISTA,57,4455,"12,79461279",No
NARIÑO,131,10257,"12,77176562",No
PUERTO NARE,181,14890,"12,15580927",No
TURBO,1623,134278,"12,08686456",No
UNGUÍA,157,13027,"12,05189222",No
LA MONTAÑITA,180,15003,"11,99760048",No
VALENCIA,429,36886,"11,63042889",No
CHÁMEZA,31,2676,"11,58445441",No
MACEO,97,8505,"11,40505585",No
SAN PEDRO DE URABÁ,378,33150,"11,40271493",No
TAME,576,50754,"11,3488592",No
COCORNÁ,173,15296,"11,31014644",No
ZAMBRANO,142,12634,"11,23951243",No
SAN JOSÉ DEL FRAGUA,148,13379,"11,06211227",No
PUERTO BOYACÁ,532,48930,"10,87267525",No
PUERTO ASÍS,744,69074,"10,77105713",No
CIMITARRA,377,35056,"10,75422182",No
PUERTO RICO,288,26838,"10,73105298",No
YACOPÍ,142,13474,"10,5388155",No
BELÉN DE LOS ANDAQUÍES,114,11418,"9,984235418",No
SAN RAFAEL,156,16151,"9,658844654",No
RIOSUCIO,506,52878,"9,56919702",No
CRAVO NORTE,41,4294,"9,5482068",No
SOLANO,112,11749,"9,532726189",No
ORITO,378,39810,"9,495101733",No
PAJARITO,23,2446,"9,403107114",No
SIMITÍ,184,19632,"9,372453138",No
VENECIA,113,12080,"9,354304636",No
ITUANGO,266,28656,"9,28252373",No
YONDÓ,192,20741,"9,257027144",No
