County,Missing_people,Population,Process_Peace_Area
SAN JOSÉ DEL GUAVIARE,431,49570,In the influence area
TIBÚ,325,42725,No
VISTAHERMOSA,281,17264,Yes
TAME,230,35774,No
VALLE DEL GUAMUEZ,212,28319,No
LA DORADA,182,68562,No
AGUSTÍN CODAZZI,155,50112,No
FLORENCIA,153,78142,In the influence area
PUERTO ASÍS,151,47030,No
SAMANÁ,137,28755,No
TARAZÁ,131,21448,No
SAN PABLO,131,19877,No
DABEIBA,128,22214,No
MAPIRIPÁN,127,6693,In the influence area
TIERRALTA,126,77508,No
PUERTO BERRÍO,125,34104,No
ORITO,122,27259,No
PUERTO BOYACÁ,121,38609,No
FUNDACIÓN,117,53382,No
SAN CARLOS,116,21900,No
SAN ONOFRE,109,45353,No
AGUACHICA,104,79962,No
CAUCASIA,101,67767,No
EL CARMEN DE BOLÍVAR,101,67582,No
PUERTO CONCORDIA,101,7546,In the influence area
EL RETORNO,100,9868,No
DIBULLA,99,19158,No
APARTADÓ,98,87346,No
AGUAZUL,94,28312,No
BARBACOAS,86,41040,No
LA JAGUA DE IBIRICO,86,31605,No
EL COPEY,86,26862,No
ITUANGO,86,25933,No
ZONA BANANERA,85,41687,No
GUADUAS,85,22636,No
SAN VICENTE DEL CAGUÁN,84,41754,Yes
PUERTO RICO,83,21304,In the influence area
CURILLO,80,6554,In the influence area
SAN FRANCISCO,71,6123,No
SITIONUEVO,70,20990,No
SAN MARTÍN,69,20437,No
MONTERREY,69,13215,No
SONSÓN,67,38633,No
EL BAGRE,64,37448,No
COCORNÁ,64,19760,No
TAURAMENA,62,16235,No
SAN LUIS,62,14000,No
PUERTO LLERAS,62,8644,No
PLATO,60,47885,No
CALAMAR,60,13294,No
ARAUCA,58,72123,No
PIVIJAY,58,30276,No
LÉRIDA,58,17429,No
RECETOR,58,1784,No
EL TARRA,57,13435,No
RIOSUCIO,55,32606,No
BECERRIL,55,16828,No
CURUMANÍ,54,31057,No
SAN MIGUEL,54,8604,No
SARAVENA,52,50433,No
POLICARPA,52,9361,No
CUMARIBO,51,43859,No
MOCOA,51,35638,No
PENSILVANIA,50,26696,No
PUERTO GAITÁN,50,24489,No
PUERTO CAICEDO,50,12825,No
SAN JUAN DE ARAMA,50,8116,In the influence area
VALENCIA,49,30245,No
CIMITARRA,49,25701,No
PUERTO NARE,49,15355,No
MESETAS,49,10436,Yes
SAN JOSÉ DEL FRAGUA,48,9243,In the influence area
ARACATACA,47,31622,No
VILLANUEVA,47,19691,No
EL CASTILLO,46,8084,In the influence area
MONTELÍBANO,45,70747,No
CARTAGENA DEL CHAIRÁ,45,21089,In the influence area
YONDÓ,45,13806,No
SIMITÍ,45,12968,No
MIRAFLORES,45,7670,No
CHIGORODÓ,44,42145,No
FRESNO,44,31617,No
REMEDIOS,44,24309,No
EL CHARCO,44,22892,No
PAILITAS,44,15385,No
BELÉN DE LOS ANDAQUÍES,44,13012,No
LA PALMA,43,10259,No
BOSCONIA,42,30467,No
VALDIVIA,42,13608,No
SARDINATA,41,22962,No
LA MONTAÑITA,40,14656,No
PUERTO RICO,39,21304,No
VILLAGARZÓN,39,18246,No
SAN JOSÉ DEL PALMAR,39,4893,No
ARAUQUITA,38,38810,No
SAMANIEGO,38,38590,No
PUERTO LÓPEZ,38,24018,No
MILÁN,38,9277,No
YARUMAL,37,38181,No
PUEBLO BELLO,37,20611,No
PUERTO TRIUNFO,37,13579,No
DAGUA,36,42759,No
HONDA,36,27732,No
PUERTO GUZMÁN,36,24597,No
VIOTÁ,36,12985,No
SOLITA,36,7939,No
NARIÑO,36,6594,No
PUERTO LEGUÍZAMO,35,19868,No
TAMINANGO,35,18254,No
CALAMAR,35,13294,No
ZAMBRANO,35,11395,No
ACACÍAS,34,58977,No
EL CARMEN,34,12949,No
PUERTO SANTANDER,34,5934,No
SAN ALBERTO,33,19903,No
MACEO,33,8800,No
MARÍA LA BAJA,32,38553,No
PUERTO LIBERTADOR,32,29929,No
SAN PEDRO DE URABÁ,32,27202,No
TRUJILLO,31,20732,No
LA MACARENA,31,15943,Yes
LA PINTADA,31,10277,No
EL CARMEN DE VIBORAL,30,46690,No
EL SANTUARIO,30,30222,No
TEORAMA,30,14523,No
SANTA ROSA,30,11270,No
ALBANIA,30,10126,No
EL DORADO,30,3031,In the influence area
EL DONCELLO,29,21352,No
CONVENCIÓN,29,17828,In the influence area
CÓRDOBA,29,11300,No
REMOLINO,29,10310,No
SAN JUAN DE RIOSECO,29,8401,No
SAN JUAN DEL CESAR,28,41807,No
LA CEJA,27,48608,No
ANORÍ,27,15520,No
BRICEÑO,27,5648,No
CRAVO NORTE,27,4825,No
NECOCLÍ,26,35703,No
SEGOVIA,26,30503,No
URRAO,26,29026,No
CÁCERES,26,24476,No
SAN MARTÍN,26,20437,No
SAN RAFAEL,26,16906,No
SILVANIA,26,16621,No
VICTORIA,26,11424,No
BETULIA,26,10799,No
GUAMO,25,35111,No
RIOSUCIO,25,32606,No
PUEBLO RICO,25,13924,No
SABANAS DE SAN ÁNGEL,25,11709,No
EL BANCO,24,52855,No
ABEJORRAL,24,23476,No
CHIRIGUANÁ,24,22123,No
